"MEDICAMENTO_NOMBRE","LOTE_CODIGO","FECHA_FABRICACION","FECHA_VENCIMIENTO"
"Heparina Sódica Tableta","L92242","23-OCT-23","12-OCT-25"
"Heparina Sódica Tableta","L19602","13-OCT-24","03-OCT-26"
"Heparina Sódica Tableta","L67711","24-FEB-24","08-FEB-27"
"Heparina Sódica Tableta","L93066","25-FEB-24","09-FEB-27"
"Heparina Sódica Tableta","L40775","07-MAY-24","22-APR-27"
"Heparina Sódica Tableta","L24996","17-OCT-24","02-OCT-27"
"Infliximab Suspensión inyectable","L97012","20-JUN-25","15-JUN-26"
"Infliximab Suspensión inyectable","L87812","14-MAR-24","27-FEB-27"
"Infliximab Tableta","L44970","25-JUN-24","20-JUN-25"
"Infliximab Tableta","L72277","31-DEC-23","15-DEC-26"
"Infliximab Tableta","L25906","23-FEB-26","17-AUG-27"
"Infliximab Vial","L16764","23-SEP-24","13-SEP-26"
"Infliximab Vial","L82309","26-DEC-25","21-DEC-26"
"Infliximab Vial","L14373","20-AUG-25","11-FEB-27"
"Infliximab Vial","L67954","14-OCT-24","29-SEP-27"
"Infliximab Vial","L48974","29-DEC-25","19-DEC-27"
"Infliximab Vial","L55293","07-APR-25","22-MAR-28"
"Insulina NPH Ampolla","L86019","24-MAY-25","08-MAY-28"
"Insulina NPH Ampolla","L33086","07-JUL-26","26-JUN-28"
"Insulina NPH Jarabe","L42951","18-NOV-24","13-NOV-25"
"Insulina NPH Jarabe","L82199","01-SEP-23","16-AUG-26"
"Insulina NPH Jarabe","L85470","10-SEP-25","25-AUG-28"
"Insulina NPH Suspensión inyectable","L67154","07-AUG-23","28-JAN-25"
"Insulina NPH Suspensión inyectable","L56898","07-OCT-24","31-MAR-26"
"Insulina NPH Suspensión inyectable","L91183","18-JAN-24","02-JAN-27"
"Insulina NPH Suspensión inyectable","L32962","24-MAR-26","08-MAR-29"
"Insulina NPH Vial","L51467","19-JAN-25","13-JUL-26"
"Rituximab Ampolla","L29340","09-AUG-23","29-JUL-25"
"Rituximab Ampolla","L52081","05-MAR-24","27-AUG-25"
"Rituximab Ampolla","L97819","10-APR-24","26-MAR-27"
"Rituximab Ampolla","L56112","18-FEB-26","08-FEB-28"
"Rituximab Ampolla","L63955","14-MAY-26","03-MAY-28"
"Rituximab Ampolla","L82340","14-SEP-25","29-AUG-28"
"Rituximab Jarabe","L33819","14-NOV-23","03-NOV-25"
"Rituximab Jarabe","L93611","05-JAN-25","21-DEC-27"
"Rituximab Jarabe","L97500","14-MAY-25","28-APR-28"
"Rituximab Suspensión inyectable","L49507","09-OCT-24","02-APR-26"
"Rituximab Suspensión inyectable","L86858","19-OCT-24","12-APR-26"
"Rituximab Suspensión inyectable","L65069","09-OCT-25","04-OCT-26"
"Rituximab Suspensión inyectable","L93130","25-JAN-25","10-JAN-28"
"Somatostatina Suspensión inyectable","L94323","06-OCT-23","30-SEP-24"
"Somatostatina Suspensión inyectable","L62262","02-DEC-25","27-NOV-26"
"Somatostatina Suspensión inyectable","L58629","09-DEC-25","02-JUN-27"
"Somatostatina Vial","L61807","24-NOV-23","18-NOV-24"
"Somatostatina Vial","L95215","22-DEC-23","16-DEC-24"
"Somatostatina Vial","L98647","25-OCT-25","15-OCT-27"
"Somatostatina Vial","L78494","21-SEP-25","05-SEP-28"
"Somatropina Ampolla","L71537","27-JAN-25","17-JAN-27"
"Toxina Botulínica Jarabe","L25292","16-MAY-24","11-MAY-25"
"Toxina Botulínica Jarabe","L46666","10-OCT-23","29-SEP-25"
"Toxina Botulínica Jarabe","L52753","05-NOV-25","26-OCT-27"
"Toxina Botulínica Jeringa prellenada","L39219","21-SEP-23","14-MAR-25"
"Toxina Botulínica Jeringa prellenada","L63841","01-NOV-23","21-OCT-25"
"Toxina Botulínica Jeringa prellenada","L60205","11-JUN-24","03-DEC-25"
"Toxina Botulínica Tableta","L49893","08-MAY-26","03-MAY-27"
"Trastuzumab Tableta","L55890","25-AUG-25","20-AUG-26"
"Trastuzumab Tableta","L56357","13-NOV-25","07-MAY-27"
"Trastuzumab Tableta","L98452","24-NOV-24","09-NOV-27"
"Trastuzumab Tableta","L85748","08-JUN-26","30-NOV-27"
"Trastuzumab Tableta","L88193","09-JAN-26","30-DEC-27"
"Vacuna COVID-19 Ampolla","L49829","13-MAR-25","04-SEP-26"
"Vacuna COVID-19 Ampolla","L23970","21-DEC-25","14-JUN-27"
"Vacuna COVID-19 Ampolla","L63545","11-FEB-26","26-JAN-29"
"Vacuna COVID-19 Jarabe","L32782","04-JAN-24","27-JUN-25"
"Vacuna COVID-19 Jarabe","L62923","05-APR-24","27-SEP-25"
"Vacuna COVID-19 Jarabe","L98184","30-APR-25","22-OCT-26"
"Vacuna COVID-19 Jarabe","L45614","21-JUN-25","11-JUN-27"
"Vacuna COVID-19 Jarabe","L31299","31-JUL-24","16-JUL-27"
"Vacuna COVID-19 Jarabe","L72402","05-MAY-26","19-APR-29"
"Vacuna COVID-19 Suspensión inyectable","L28643","28-DEC-23","22-DEC-24"
"Vacuna COVID-19 Suspensión inyectable","L52245","18-DEC-24","13-DEC-25"
"Vacuna COVID-19 Suspensión inyectable","L46930","08-OCT-24","28-SEP-26"
"Vacuna COVID-19 Suspensión inyectable","L38255","18-JUN-26","13-JUN-27"
"Vacuna COVID-19 Suspensión inyectable","L75597","11-MAY-26","25-APR-29"
"Vacuna DPT Suspensión inyectable","L44687","17-JAN-24","10-JUL-25"
"Vacuna DPT Suspensión inyectable","L68115","30-JAN-26","24-JUL-27"
"Vacuna DPT Tableta","L25129","10-MAR-24","01-SEP-25"
"Vacuna DPT Tableta","L33405","28-JAN-25","23-JAN-26"
"Vacuna DPT Tableta","L91927","12-SEP-24","28-AUG-27"
"Vacuna DPT Tableta","L86619","22-SEP-25","12-SEP-27"
"Vacuna Fiebre Amarilla Ampolla","L49618","01-SEP-23","22-FEB-25"
"Vacuna Fiebre Amarilla Ampolla","L36318","30-APR-24","20-APR-26"
"Vacuna Fiebre Amarilla Ampolla","L77889","12-MAR-26","07-MAR-27"
"Vacuna Fiebre Amarilla Ampolla","L20350","25-SEP-25","19-MAR-27"
"Vacuna Fiebre Amarilla Ampolla","L90676","11-APR-25","26-MAR-28"
"Vacuna Fiebre Amarilla Jarabe","L84177","12-NOV-23","27-OCT-26"
"Vacuna Fiebre Amarilla Jarabe","L56955","03-DEC-24","23-NOV-26"
"Vacuna Fiebre Amarilla Jarabe","L28894","20-NOV-25","14-MAY-27"
"Vacuna Fiebre Amarilla Jarabe","L85243","08-MAR-25","21-FEB-28"
"Vacuna Fiebre Amarilla Jeringa prellenada","L30392","21-JUN-24","16-JUN-25"
"Vacuna Fiebre Amarilla Jeringa prellenada","L29887","04-JUN-24","25-MAY-26"
"Vacuna Fiebre Amarilla Jeringa prellenada","L43092","08-APR-26","03-APR-27"
"Vacuna Fiebre Amarilla Suspensión inyectable","L49251","02-OCT-23","26-SEP-24"
"Vacuna Fiebre Amarilla Suspensión inyectable","L96356","24-JAN-24","13-JAN-26"
"Vacuna Fiebre Amarilla Suspensión inyectable","L50319","17-MAR-25","01-MAR-28"
"Vacuna Fiebre Amarilla Tableta","L95175","15-JAN-24","04-JAN-26"
"Vacuna Hepatitis B Ampolla","L96646","25-SEP-23","18-MAR-25"
"Vacuna Hepatitis B Ampolla","L19862","04-JUN-24","30-MAY-25"
"Vacuna Hepatitis B Ampolla","L71385","05-JAN-24","28-JUN-25"
"Vacuna Hepatitis B Ampolla","L81376","06-NOV-24","30-APR-26"
"Vacuna Hepatitis B Ampolla","L62976","22-JUN-26","17-JUN-27"
"Vacuna Hepatitis B Ampolla","L83920","23-OCT-24","08-OCT-27"
"Vacuna Hepatitis B Suspensión inyectable","L19120","20-MAY-24","15-MAY-25"
"Vacuna Hepatitis B Suspensión inyectable","L53025","24-FEB-25","19-FEB-26"
"Vacuna Hepatitis B Suspensión inyectable","L82102","18-OCT-23","02-OCT-26"
"Vacuna Hepatitis B Suspensión inyectable","L41890","22-APR-25","12-APR-27"
"Vacuna Hepatitis B Suspensión inyectable","L31632","18-MAR-26","09-SEP-27"
"Vacuna Hepatitis B Tableta","L14705","22-DEC-23","14-JUN-25"
"Vacuna Hepatitis B Tableta","L20561","13-MAY-24","04-NOV-25"
"Vacuna Hepatitis B Tableta","L70552","27-NOV-25","22-NOV-26"
"Vacuna Hepatitis B Tableta","L71069","02-DEC-25","27-NOV-26"
"Vacuna Hepatitis B Tableta","L49651","22-JUL-26","17-JUL-27"
"Vacuna Influenza Ampolla","L42411","15-SEP-24","10-SEP-25"
"Vacuna Influenza Ampolla","L89822","01-FEB-25","27-JAN-26"
"Vacuna Influenza Ampolla","L91205","05-JUN-25","27-NOV-26"
"Vacuna Influenza Ampolla","L33509","14-JUN-25","29-MAY-28"
"Vacuna Meningococo Jarabe","L68991","15-JAN-25","09-JUL-26"
"Vacuna Meningococo Jarabe","L59968","02-OCT-25","26-MAR-27"
"Vacuna Meningococo Jarabe","L82544","08-JUL-25","22-JUN-28"
"Vacuna Meningococo Tableta","L62640","24-DEC-25","19-DEC-26"
"Vacuna Meningococo Tableta","L67733","01-JUL-25","23-DEC-26"
"Vacuna Meningococo Tableta","L71894","15-DEC-24","30-NOV-27"
"Vacuna Neumococo Tableta","L58351","12-JUL-24","07-JUL-25"
"Vacuna Neumococo Tableta","L97404","23-AUG-23","07-AUG-26"
"Vacuna Neumococo Tableta","L69878","13-APR-25","05-OCT-26"
"Vacuna Neumococo Tableta","L16658","09-FEB-24","24-JAN-27"
"Vacuna Neumococo Tableta","L73156","30-MAR-25","20-MAR-27"
"Vacuna Neumococo Vial","L45018","09-AUG-23","29-JUL-25"
"Vacuna Neumococo Vial","L39038","31-OCT-23","20-OCT-25"
"Vacuna Neumococo Vial","L65933","02-FEB-26","27-JUL-27"
"Vacuna Papiloma Humano Tableta","L97207","17-DEC-25","12-DEC-26"
"Vacuna Papiloma Humano Tableta","L43862","01-JUL-25","21-JUN-27"
"Vacuna Polio Inactivada Jarabe","L53404","29-SEP-23","23-SEP-24"
"Vacuna Polio Inactivada Jarabe","L13534","18-OCT-25","13-OCT-26"
"Vacuna Polio Inactivada Jarabe","L26199","20-FEB-26","10-FEB-28"
"Vacuna Polio Inactivada Jarabe","L59808","13-MAY-25","27-APR-28"
"Vacuna Polio Inactivada Jarabe","L73372","13-MAR-26","25-FEB-29"
"Vacuna Polio Inactivada Jeringa prellenada","L73335","09-MAR-24","31-AUG-25"
"Vacuna Polio Inactivada Jeringa prellenada","L85574","27-AUG-24","17-AUG-26"
"Vacuna Polio Inactivada Tableta","L66531","25-DEC-23","14-DEC-25"
"Vacuna Polio Inactivada Tableta","L23022","25-AUG-25","15-AUG-27"
"Vacuna Polio Inactivada Tableta","L93307","02-MAR-26","24-AUG-27"
"Vacuna Rotavirus Vial","L88385","24-OCT-23","08-OCT-26"
"Vacuna Rotavirus Vial","L42530","02-APR-24","18-MAR-27"
"Vacuna Rotavirus Vial","L94246","28-DEC-25","21-JUN-27"
"Vacuna Rotavirus Vial","L41635","13-NOV-25","28-OCT-28"
"Vacuna Rotavirus Vial","L45665","27-JAN-26","11-JAN-29"
"Vacuna Triple Viral Jeringa prellenada","L98815","22-JUN-24","17-JUN-25"
"Vacuna Triple Viral Jeringa prellenada","L69510","27-DEC-23","19-JUN-25"
"Vacuna Triple Viral Jeringa prellenada","L40162","25-JUL-25","16-JAN-27"
"Vacuna Triple Viral Jeringa prellenada","L39817","05-FEB-24","20-JAN-27"
"Vacuna Triple Viral Jeringa prellenada","L88696","04-MAY-25","24-APR-27"
"Vacuna Triple Viral Suspensión inyectable","L89905","23-FEB-24","16-AUG-25"
"Vacuna Triple Viral Suspensión inyectable","L62184","19-FEB-25","13-AUG-26"
"Vacuna Triple Viral Tableta","L41266","18-APR-24","03-APR-27"
"Vacuna Triple Viral Tableta","L96079","17-APR-26","09-OCT-27"
"Vacuna Varicela Ampolla","L64008","06-AUG-24","28-JAN-26"
"Vacuna Varicela Ampolla","L88222","05-MAR-25","28-FEB-26"
"Vacuna Varicela Ampolla","L75771","12-FEB-25","06-AUG-26"
"Vacuna Varicela Ampolla","L48652","18-FEB-26","02-FEB-29"
"Vacuna Varicela Jarabe","L51359","04-APR-24","26-SEP-25"
"Vacuna Varicela Jarabe","L91381","29-DEC-24","22-JUN-26"
"Vacuna Varicela Jarabe","L48829","11-NOV-24","01-NOV-26"
"Vacuna Varicela Jarabe","L38361","21-APR-26","10-APR-28"
"Vacuna Varicela Jarabe","L77952","13-AUG-25","28-JUL-28"
"Vacuna Varicela Jeringa prellenada","L89730","02-JUN-24","28-MAY-25"
"Vacuna Varicela Jeringa prellenada","L89129","28-DEC-24","23-DEC-25"
"Vacuna Varicela Jeringa prellenada","L17355","26-MAR-25","16-MAR-27"
"Vacuna Varicela Jeringa prellenada","L54236","18-SEP-25","08-SEP-27"
"Vacuna Varicela Jeringa prellenada","L33834","28-APR-26","20-OCT-27"
"Vacuna Varicela Jeringa prellenada","L34727","05-DEC-24","20-NOV-27"
